INFO 2026-05-15 14:41:17,547 autoreload Watching for file changes with StatReloader
INFO 2026-05-15 14:53:34,648 log "GET /api/appointments/?patient=12 HTTP/1.1" 200 52
INFO 2026-05-15 14:53:37,011 log "GET /api/auth/me/ HTTP/1.1" 200 115
INFO 2026-05-15 14:53:37,043 log "GET /api/treatments/?patient=12 HTTP/1.1" 200 52
INFO 2026-05-15 14:53:37,044 log "GET /api/patients/12/ HTTP/1.1" 200 507
INFO 2026-05-15 14:53:37,054 log "GET /api/documents/?patient=12 HTTP/1.1" 200 52
INFO 2026-05-15 14:53:37,054 log "GET /api/appointments/?patient=12 HTTP/1.1" 200 52
INFO 2026-05-15 14:53:37,054 log "GET /api/payments/?patient=12 HTTP/1.1" 200 52
INFO 2026-05-15 14:53:37,200 log "GET /api/auth/me/ HTTP/1.1" 200 115
INFO 2026-05-15 14:53:37,231 log "GET /api/documents/?patient=12 HTTP/1.1" 200 52
INFO 2026-05-15 14:53:37,231 log "GET /api/treatments/?patient=12 HTTP/1.1" 200 52
INFO 2026-05-15 14:53:37,233 log "GET /api/appointments/?patient=12 HTTP/1.1" 200 52
INFO 2026-05-15 14:53:37,233 log "GET /api/patients/12/ HTTP/1.1" 200 507
INFO 2026-05-15 14:53:37,234 log "GET /api/payments/?patient=12 HTTP/1.1" 200 52
INFO 2026-05-15 14:53:37,442 log "GET /api/auth/me/ HTTP/1.1" 200 115
INFO 2026-05-15 14:53:37,477 log "GET /api/appointments/?patient=12 HTTP/1.1" 200 52
INFO 2026-05-15 14:53:37,477 log "GET /api/treatments/?patient=12 HTTP/1.1" 200 52
INFO 2026-05-15 14:53:37,478 log "GET /api/payments/?patient=12 HTTP/1.1" 200 52
INFO 2026-05-15 14:53:37,479 log "GET /api/documents/?patient=12 HTTP/1.1" 200 52
INFO 2026-05-15 14:53:37,481 log "GET /api/patients/12/ HTTP/1.1" 200 507
INFO 2026-05-15 14:53:37,634 log "GET /api/auth/me/ HTTP/1.1" 200 115
INFO 2026-05-15 14:53:37,659 log "GET /api/documents/?patient=12 HTTP/1.1" 200 52
INFO 2026-05-15 14:53:37,661 log "GET /api/payments/?patient=12 HTTP/1.1" 200 52
INFO 2026-05-15 14:53:37,666 log "GET /api/appointments/?patient=12 HTTP/1.1" 200 52
INFO 2026-05-15 14:53:37,668 log "GET /api/patients/12/ HTTP/1.1" 200 507
INFO 2026-05-15 14:53:37,671 log "GET /api/treatments/?patient=12 HTTP/1.1" 200 52
INFO 2026-05-15 14:53:37,819 log "GET /api/auth/me/ HTTP/1.1" 200 115
INFO 2026-05-15 14:53:37,846 log "GET /api/payments/?patient=12 HTTP/1.1" 200 52
INFO 2026-05-15 14:53:37,851 log "GET /api/documents/?patient=12 HTTP/1.1" 200 52
INFO 2026-05-15 14:53:37,855 log "GET /api/patients/12/ HTTP/1.1" 200 507
INFO 2026-05-15 14:53:37,857 log "GET /api/appointments/?patient=12 HTTP/1.1" 200 52
INFO 2026-05-15 14:53:37,861 log "GET /api/treatments/?patient=12 HTTP/1.1" 200 52
INFO 2026-05-15 14:53:38,003 log "GET /api/auth/me/ HTTP/1.1" 200 115
INFO 2026-05-15 14:53:38,033 log "GET /api/payments/?patient=12 HTTP/1.1" 200 52
INFO 2026-05-15 14:53:38,033 log "GET /api/documents/?patient=12 HTTP/1.1" 200 52
INFO 2026-05-15 14:53:38,034 log "GET /api/treatments/?patient=12 HTTP/1.1" 200 52
INFO 2026-05-15 14:53:38,043 log "GET /api/appointments/?patient=12 HTTP/1.1" 200 52
INFO 2026-05-15 14:53:38,058 log "GET /api/patients/12/ HTTP/1.1" 200 507
INFO 2026-05-15 14:53:38,188 log "GET /api/auth/me/ HTTP/1.1" 200 115
INFO 2026-05-15 14:53:38,218 log "GET /api/appointments/?patient=12 HTTP/1.1" 200 52
INFO 2026-05-15 14:53:38,221 log "GET /api/treatments/?patient=12 HTTP/1.1" 200 52
INFO 2026-05-15 14:53:38,221 log "GET /api/patients/12/ HTTP/1.1" 200 507
INFO 2026-05-15 14:53:38,221 log "GET /api/payments/?patient=12 HTTP/1.1" 200 52
INFO 2026-05-15 14:53:38,230 log "GET /api/documents/?patient=12 HTTP/1.1" 200 52
INFO 2026-05-15 14:53:38,372 log "GET /api/auth/me/ HTTP/1.1" 200 115
INFO 2026-05-15 14:53:38,405 log "GET /api/payments/?patient=12 HTTP/1.1" 200 52
INFO 2026-05-15 14:53:38,405 log "GET /api/treatments/?patient=12 HTTP/1.1" 200 52
INFO 2026-05-15 14:53:38,405 log "GET /api/appointments/?patient=12 HTTP/1.1" 200 52
INFO 2026-05-15 14:53:38,415 log "GET /api/patients/12/ HTTP/1.1" 200 507
INFO 2026-05-15 14:53:38,432 log "GET /api/documents/?patient=12 HTTP/1.1" 200 52
INFO 2026-05-15 14:53:38,549 log "GET /api/auth/me/ HTTP/1.1" 200 115
INFO 2026-05-15 14:53:38,578 log "GET /api/documents/?patient=12 HTTP/1.1" 200 52
INFO 2026-05-15 14:53:38,580 log "GET /api/treatments/?patient=12 HTTP/1.1" 200 52
INFO 2026-05-15 14:53:38,580 log "GET /api/patients/12/ HTTP/1.1" 200 507
INFO 2026-05-15 14:53:38,591 log "GET /api/payments/?patient=12 HTTP/1.1" 200 52
INFO 2026-05-15 14:53:38,591 log "GET /api/appointments/?patient=12 HTTP/1.1" 200 52
INFO 2026-05-15 14:53:38,739 log "GET /api/auth/me/ HTTP/1.1" 200 115
INFO 2026-05-15 14:53:38,767 log "GET /api/appointments/?patient=12 HTTP/1.1" 200 52
INFO 2026-05-15 14:53:38,768 log "GET /api/documents/?patient=12 HTTP/1.1" 200 52
INFO 2026-05-15 14:53:38,769 log "GET /api/payments/?patient=12 HTTP/1.1" 200 52
INFO 2026-05-15 14:53:38,779 log "GET /api/treatments/?patient=12 HTTP/1.1" 200 52
INFO 2026-05-15 14:53:38,780 log "GET /api/patients/12/ HTTP/1.1" 200 507
INFO 2026-05-15 14:53:38,927 log "GET /api/auth/me/ HTTP/1.1" 200 115
INFO 2026-05-15 14:53:38,970 log "GET /api/payments/?patient=12 HTTP/1.1" 200 52
INFO 2026-05-15 14:53:38,971 log "GET /api/treatments/?patient=12 HTTP/1.1" 200 52
INFO 2026-05-15 14:53:38,971 log "GET /api/appointments/?patient=12 HTTP/1.1" 200 52
INFO 2026-05-15 14:53:38,973 log "GET /api/patients/12/ HTTP/1.1" 200 507
INFO 2026-05-15 14:53:38,980 log "GET /api/documents/?patient=12 HTTP/1.1" 200 52
INFO 2026-05-15 14:53:39,121 log "GET /api/auth/me/ HTTP/1.1" 200 115
INFO 2026-05-15 14:53:39,156 log "GET /api/payments/?patient=12 HTTP/1.1" 200 52
INFO 2026-05-15 14:53:39,161 log "GET /api/treatments/?patient=12 HTTP/1.1" 200 52
INFO 2026-05-15 14:53:39,163 log "GET /api/appointments/?patient=12 HTTP/1.1" 200 52
